mode,threads,throughput_hashes_per_sec,speedup,efficiency,efficiency_pct
concurrent,2,713696.6666666666,1.121037657114075,0.5605188285570375,56.1
concurrent,4,739059.4666666667,1.1608762260997592,0.2902190565249398,29.0
concurrent,8,706058.2666666667,1.1090396551056119,0.13862995688820148,13.9
parallel,2,1014642.6,1.593747899124465,0.7968739495622325,79.7
parallel,4,1864442.6666666667,2.9285697082283115,0.7321424270570779,73.2
parallel,8,3334655.3333333335,5.237903407371416,0.654737925921427,65.5
sequential,1,636639.3333333334,1.0,1.0,100.0
